Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,is_coastal_district,Season,Fatality_Rate
857,24th week,Delhi,North Delhi,Cholera,4,0,10,6,2019,28.78722785,77.09809033,0.06398791246,,316.6433334,0,Monsoon,0.0
859,24th week,Gujarat,Gandhi Nagar,Cholera,3,0,12,6,2019,23.06016515,72.58063822,7.08e-05,4.0,315.6,0,Monsoon,0.0
866,24th week,Punjab,Patiala,Cholera,141,2,16,6,2019,30.2090874,76.33987209,0.02437384092,3.0,315.21,0,Monsoon,1.4184397163120568
954,29th week,Punjab,Gurdaspur,Cholera,2,1,20,7,2019,32.166667,75.316667,0.3756475507,,300.1733334,0,Monsoon,50.0
959,29th week,West Bengal,Purulia,Cholera,31,0,12,7,2019,23.3291882,86.3672378,0.7925198686,,,0,Monsoon,0.0
968,30th week,Delhi,North Delhi,Cholera,5,0,25,7,2019,28.78722785,77.09809033,0.8748362289,7.0,306.64,0,Monsoon,0.0
970,30th week,Gujarat,Navsari,Cholera,25,0,24,7,2019,20.952407,72.9323831,0.1795757448,7.0,304.285,1,Monsoon,0.0
1017,33rd week,Gujarat,Vadodara,Cholera,11,0,13,8,2019,22.2973142,73.1942567,2.551227918,,,0,Monsoon,0.0
1043,34th week,Odisha,Dhenkanal,Cholera,15,0,18,8,2019,20.75,85.5,1.545526329,15.0,300.48,0,Monsoon,0.0
1066,35th week,Odisha,Mayurbhanj,Cholera,13,0,24,8,2019,21.75,86.5,3.454880071,7.0,300.6866666,0,Monsoon,0.0
1067,35th week,Odisha,Mayurbhanj,Cholera,16,0,25,8,2019,21.75,86.5,0.789748188,7.0,300.6866666,0,Monsoon,0.0
1068,35th week,Punjab,Hoshiarpur,Cholera,72,0,28,8,2019,31.60857425,75.84644247,0.1590550786,,303.22,0,Monsoon,0.0
1088,36th week,Assam,Tinsukia,Cholera,5,0,2,9,2019,27.52016575,95.53063473,0.3024225084,35.0,303.0666666,0,Monsoon,0.0
1111,37th week,Haryana,Panchkula,Cholera,108,0,10,9,2019,30.7137692,76.868276,0.4429856255,23.0,300.276,0,Monsoon,0.0
1118,37th week,Punjab,Hoshiarpur,Cholera,123,1,14,9,2019,31.60857425,75.84644247,0.1801431669,,301.04,0,Monsoon,0.8130081300813009
1190,40th week,Haryana,Ambala,Cholera,53,1,28,9,2019,30.3843674,76.770421,0.2011654714,22.0,300.184,0,Monsoon,1.8867924528301887
1230,42nd week,Gujarat,Panchmahal,Cholera,1,1,9,10,2019,22.7748893,73.620404,0.06211634838,22.0,302.564,0,Post-Monsoon,100.0
1252,43rd week,Maharashtra,Sangli,Cholera,111,3,22,10,2019,17.1726928,74.58676543,0.8056338426,8.0,301.06,0,Post-Monsoon,2.7027027027027026
1260,43rd week,Jammu And Kashmir,Kupwara,Cholera,246,4,26,8,2019,34.6110236,74.23847867,0.1586836761,17.0,291.7066666,0,Monsoon,1.6260162601626018
1266,43rd week,Maharashtra,Nashik,Cholera,289,0,17,10,2019,20.0112475,73.7902364,0.1675463261,15.0,303.756,0,Post-Monsoon,0.0
1286,45th week,Karnataka,Uttara Kannada,Cholera,20,0,5,11,2019,14.72447415,74.64223734,0.2178832856,42.0,300.75,1,Post-Monsoon,0.0
1297,45th week,Maharashtra,Sangli,Cholera,112,0,1,11,2019,17.1726928,74.58676543,0.2879052222,,300.62,0,Post-Monsoon,0.0
1374,51st week,Tamil Nadu,Tirunelveli,Cholera,1,0,20,12,2019,8.7284271,77.7112925,0.3583284273,12.0,299.91,1,Winter,0.0
1409,6th week,Karnataka,Shimoga,Cholera,54,3,9,2,2018,13.9326093,75.574978,0.001735805551,,305.91,0,Winter,5.555555555555555
1437,11th week,Assam,Jorhat,Cholera,19,0,10,3,2018,26.7577925,94.2079645,0.2620208339,11.0,297.768,0,Summer,0.0
1466,15th week,Maharashtra,Yavatmal,Cholera,4,0,5,4,2018,20.32570375,78.11691397,0.0002515371926,3.0,319.89,0,Summer,0.0
1493,17th week,Maharashtra,Akola,Cholera,13,0,17,4,2018,20.76181225,77.19211567,0.01095632628,3.0,319.91,0,Summer,0.0
1612,26th week,Maharashtra,Amravati,Cholera,27,0,21,6,2018,20.9521098,77.7333168,0.1777936391,3.0,316.69333340000003,0,Monsoon,0.0
1616,26th week,Madhya Pradesh,Bhopal,Cholera,19,1,23,6,2018,23.2584857,77.401989,0.1114470877,9.0,310.79200000000003,0,Monsoon,5.263157894736842
1623,27th week,Gujarat,Vadodara,Cholera,107,1,4,7,2018,22.2973142,73.1942567,0.4468057556,,,0,Monsoon,0.9345794392523363
1639,27th week,Maharashtra,Yavatmal,Cholera,3,0,26,6,2018,20.32570375,78.11691397,0.6042561904,,312.17,0,Monsoon,0.0
1641,28th week,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Cholera,3,0,13,7,2018,20.2712521,73.0014588,1.493951557,1.0,,0,Monsoon,0.0
1643,28th week,Gujarat,Anand,Cholera,31,0,8,7,2018,22.5584995,72.9625629,0.6690163003,4.0,,1,Monsoon,0.0
1645,28th week,Gujarat,Vadodara,Cholera,15,0,14,7,2018,22.2973142,73.1942567,0.7070851857,2.0,,0,Monsoon,0.0
1661,29th week,Gujarat,Dahod,Cholera,1,0,14,7,2018,22.8358542,74.2556782,0.8809292263,1.0,,0,Monsoon,0.0
1674,29th week,Punjab,Ludhiana,Cholera,66,1,20,7,2018,30.9090157,75.851601,1.017620334,,303.14,0,Monsoon,1.5151515151515151
1675,29th week,Punjab,Hoshiarpur,Cholera,355,4,21,7,2018,31.60857425,75.84644247,1.003500193,12.0,302.785,0,Monsoon,1.1267605633802817
1716,31st week,Delhi,North Delhi,Cholera,12,0,3,8,2018,28.78722785,77.09809033,0.06779428596,9.0,302.94,0,Monsoon,0.0
1720,31st week,Maharashtra,Nashik,Cholera,195,3,28,5,2018,20.0112475,73.7902364,0.0232925069,5.0,312.8866666,0,Summer,1.5384615384615385
1722,32nd week,Gujarat,Dahod,Cholera,2,0,8,7,2018,22.8358542,74.2556782,0.4278499176,4.0,303.82,0,Monsoon,0.0
1748,34th week,Madhya Pradesh,Morena,Cholera,6,0,20,8,2018,26.166667,77.5,0.7338538087,,305.285,0,Monsoon,0.0
1750,34th week,Madhya Pradesh,Gwalior,Cholera,144,0,20,8,2018,26.2037247,78.1573628,0.6177748133,,304.4266666,0,Monsoon,0.0
1751,34th week,Madhya Pradesh,Burhanpur,Cholera,16,0,21,8,2018,21.3118839,76.2291992,0.9997307896,,,0,Monsoon,0.0
1766,35th week,Madhya Pradesh,Morena,Cholera,12,0,25,8,2018,26.166667,77.5,1.140651504,10.0,301.66,0,Monsoon,0.0
1775,35th week,Punjab,S.A.S Nagar,Cholera,15,1,27,8,2018,30.7041168,76.7176885,0.2640002865,18.0,299.876,0,Monsoon,6.666666666666667
1776,35th week,Punjab,Ludhiana,Cholera,38,0,28,8,2018,30.9090157,75.851601,0.1693048074,,299.216,0,Monsoon,0.0
1787,36th week,Maharashtra,Jalgaon,Cholera,32,2,6,9,2018,20.84288265,75.52612464,0.08158791335,,302.0,0,Monsoon,6.25
1831,40th week,Punjab,Hoshiarpur,Cholera,22,0,29,9,2018,31.60857425,75.84644247,3.174566892,,299.93,0,Monsoon,0.0
1857,42nd week,Maharashtra,Nandurbar,Cholera,43,1,19,10,2018,21.51450155,74.54070115,8.67e-05,9.0,309.7766666,0,Post-Monsoon,2.3255813953488373
1877,44th week,West Bengal,Rampurhat,Cholera,102,0,29,10,2018,24.1763069,87.7859569,0.001800650255,17.0,302.42400000000004,0,Post-Monsoon,0.0
1885,44th week,Punjab,Ludhiana,Cholera,75,1,22,7,2018,30.9090157,75.851601,1.4236118,9.0,302.4533334,0,Monsoon,1.3333333333333335
1886,44th week,Punjab,Ludhiana,Cholera,12,0,12,9,2018,30.9090157,75.851601,0.6080944717,20.0,301.94,0,Monsoon,0.0
1897,45th week,West Bengal,Birbhum,Cholera,117,0,2,11,2018,24.0,87.583333,0.01147096072,14.0,301.736,0,Post-Monsoon,0.0
1898,45th week,West Bengal,Birbhum,Cholera,49,0,26,10,2018,24.0,87.583333,0.001771063983,17.0,302.8333334,0,Post-Monsoon,0.0
1966,3rd week,Punjab,S.A.S Nagar,Cholera,103,0,19,1,2017,30.7041168,76.7176885,0.1335549893,11.0,286.992,0,Winter,0.0
1996,9th week,Punjab,S.A.S Nagar,Cholera,135,0,1,3,2017,30.7041168,76.7176885,0.006693405674,16.0,296.8766666,0,Summer,0.0
2124,22nd week,Gujarat,Gandhinagar,Cholera,101,0,26,5,2017,23.2232877,72.6492267,0.005320479081,5.0,314.1,0,Summer,0.0
2156,24th week,Gujarat,Gandhi Nagar,Cholera,71,0,20,5,2017,23.06016515,72.58063822,5.35e-05,5.0,319.26,0,Summer,0.0
2166,25th week,Chandigarh,Chandigarh,Cholera,3,0,16,6,2017,30.72984395,76.78414567,0.008095585039,7.0,310.9866666,0,Monsoon,0.0
2173,25th week,Punjab,Jalandhar,Cholera,414,1,23,6,2017,31.29201065,75.56805772,0.4262215264,5.0,308.59000000000003,0,Monsoon,0.24154589371980675
2174,25th week,Punjab,Ludhiana,Cholera,86,0,23,6,2017,30.9090157,75.851601,0.4262215264,5.0,308.59000000000003,0,Monsoon,0.0
2181,25th week,Gujarat,Gandhinagar,Cholera,189,0,14,6,2017,23.2232877,72.6492267,0.08440429428,5.0,310.24,0,Monsoon,0.0
2191,26th week,Gujarat,Anand,Cholera,57,0,30,6,2017,22.5584995,72.9625629,0.9190543476,4.0,309.04,1,Monsoon,0.0
2216,27th week,Punjab,Moga,Cholera,21,0,6,7,2017,30.7839866,75.16057423,0.131497755,5.0,302.03200000000004,0,Monsoon,0.0
2219,27th week,Gujarat,Vadodara,Cholera,19,0,28,6,2017,22.2973142,73.1942567,0.7961108618,4.0,308.62,0,Monsoon,0.0
2232,28th week,Maharashtra,Ratnagiri,Cholera,83,0,13,7,2017,17.2826079,73.4569787,0.600488813,7.0,298.45,1,Monsoon,0.0
2233,28th week,Punjab,Ludhiana,Cholera,171,1,12,7,2017,30.9090157,75.851601,0.3141627469,,302.276,0,Monsoon,0.5847953216374269
2234,28th week,Punjab,Sangrur,Cholera,124,0,12,7,2017,30.2093363,75.81842243,0.2316729127,,300.82,0,Monsoon,0.0
2259,29th week,Maharashtra,Osmanabad,Cholera,3,0,11,7,2017,18.16984395,76.11796321,0.108867075,,309.7466666,0,Monsoon,0.0
2271,30th week,Gujarat,Navsari,Cholera,47,0,27,7,2017,20.952407,72.9323831,1.214032591,,,1,Monsoon,0.0
2273,30th week,Haryana,Gurgaon,Cholera,40,0,25,7,2017,28.42826235,77.00270015,0.3273653217,8.0,304.0866666,0,Monsoon,0.0
2278,30th week,Kerala,Pathanamthitta,Cholera,4,1,20,7,2017,9.2780841,76.9737443,0.4166274169,,298.85,0,Monsoon,25.0
2283,30th week,Punjab,Ludhiana,Cholera,106,0,30,7,2017,30.9090157,75.851601,0.3380100873,13.0,303.344,0,Monsoon,0.0
2302,31st week,Kerala,Kozhikode,Cholera,6,0,1,8,2017,11.2450558,75.7754716,0.2666190138,,,1,Monsoon,0.0
2303,31st week,Madhya Pradesh,Khandwa,Cholera,34,0,2,8,2017,21.9778642,76.56882823,0.4464960214,11.0,298.04,0,Monsoon,0.0
2324,32nd week,Punjab,Ludhiana,Cholera,459,1,14,8,2017,30.9090157,75.851601,0.2742482473,19.0,301.36,0,Monsoon,0.2178649237472767
2343,33rd week,Chhattisgarh,Mahasamund,Cholera,39,0,16,8,2017,21.1882332,82.48484762,0.4004477981,10.0,301.44,0,Monsoon,0.0
2371,34th week,Karnataka,Dharwad,Cholera,78,0,22,8,2017,15.4540505,75.0066516,0.2489865175,3.0,309.22,0,Monsoon,0.0
2384,35th week,Assam,Dibrugarh,Cholera,24,0,24,8,2017,27.4844597,94.9019447,0.401762508,22.0,291.265,0,Monsoon,0.0
2518,42nd week,Madhya Pradesh,Raisen,Cholera,18,1,14,10,2017,23.25,78.083333,0.19828245,18.0,303.935,0,Post-Monsoon,5.555555555555555
2578,46th week,Maharashtra,Aurangabad,Cholera,5825,0,10,11,2017,19.877263,75.3390241,8.34e-05,11.0,306.0466666,0,Post-Monsoon,0.0
2615,50th week,Gujarat,Kheda,Cholera,2,0,13,12,2017,22.75,72.833333,0.004625559769,6.0,300.225,0,Winter,0.0
2631,52nd week,Gujarat,Surat,Cholera,65,0,24,12,2017,21.19177615,72.95441578,5.48e-05,9.0,298.52500000000003,1,Winter,0.0
2632,52nd week,Karnataka,Bangalore Urban,Cholera,19,2,28,12,2017,12.94514225,77.553645,0.0001615998913,10.0,300.8766666,0,Winter,10.526315789473683
2639,1st week,Karnataka,Chitradurga,Cholera,4,0,7,1,2016,14.2266443,76.4005122,1.38e-05,7.0,305.2066666,0,Winter,0.0
2650,3rd week,Assam,Cachar,Cholera,2,0,20,1,2016,24.75863995,92.88166476,0.002035318082,20.0,293.9666666,0,Winter,0.0
2656,4th week,Assam,Cachar,Cholera,172,2,27,1,2016,24.75863995,92.88166476,0.04163991941,22.0,295.36,0,Winter,1.1627906976744187
2666,5th week,Karnataka,Mysore,Cholera,33,0,3,2,2016,12.3051828,76.6553609,5.89e-05,10.0,306.79200000000003,0,Winter,0.0
2673,6th week,Assam,Cachar,Cholera,16,0,9,2,2016,24.75863995,92.88166476,0.02283123923,,298.1033334,0,Winter,0.0
